epochs,vector_size,window,min_count,sg,model_type,score,accuracy,hits,wrong,not_found,avg_distance
25,100,5,1000,1,Skip-gram,0.7223382045929019,0.07724425887265135,37,442,19065,2.596139053959936
25,100,5,3000,0,CBOW,0.8333333333333334,0.08333333333333333,1,11,19532,12.451509793599447
25,100,5,3000,1,Skip-gram,0.8333333333333334,0.0,0,12,19532,2.779345611731211
25,100,5,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
25,100,5,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
25,100,10,1,0,CBOW,0.30513227513227514,0.006190476190476191,117,18783,644,19.922501777416816
25,100,10,1,1,Skip-gram,0.29375661375661377,0.009682539682539683,183,18717,644,4.30123623399192
25,100,10,1000,0,CBOW,0.7390396659707724,0.06471816283924843,31,448,19065,16.17169146448187
25,100,10,1000,1,Skip-gram,0.7056367432150313,0.07724425887265135,37,442,19065,2.4698279921844257
25,100,10,3000,0,CBOW,0.8333333333333334,0.16666666666666666,2,10,19532,13.233875672022501
25,100,10,3000,1,Skip-gram,0.9166666666666666,0.0,0,12,19532,2.7645265062650046
25,100,10,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
25,100,10,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
50,50,5,1,0,CBOW,0.24873015873015872,0.012328042328042329,233,18667,644,14.796062819806357
50,50,5,1,1,Skip-gram,0.2388888888888889,0.01708994708994709,323,18577,644,3.698904182664932
50,50,5,1000,0,CBOW,0.6430062630480167,0.0709812108559499,34,445,19065,14.249572517976382
50,50,5,1000,1,Skip-gram,0.6492693110647182,0.12943632567849686,62,417,19065,1.9708593069636
50,50,5,3000,0,CBOW,0.9166666666666666,0.25,3,9,19532,11.848289569218954
50,50,5,3000,1,Skip-gram,0.8333333333333334,0.08333333333333333,1,11,19532,2.1422013342380524
50,50,5,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
50,50,5,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
50,50,10,1,0,CBOW,0.22846560846560846,0.013386243386243387,253,18647,644,18.416221216620592
50,50,10,1,1,Skip-gram,0.2366137566137566,0.017142857142857144,324,18576,644,3.5780939769555653
50,50,10,1000,0,CBOW,0.6889352818371608,0.0709812108559499,34,445,19065,16.615991357472844
50,50,10,1000,1,Skip-gram,0.6534446764091858,0.07724425887265135,37,442,19065,2.064411002185997
50,50,10,3000,0,CBOW,0.8333333333333334,0.3333333333333333,4,8,19532,10.851352055867514
50,50,10,3000,1,Skip-gram,0.8333333333333334,0.25,3,9,19532,1.731980820496877
50,50,10,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
50,50,10,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
50,100,5,1,0,CBOW,0.2994179894179894,0.006402116402116402,121,18779,644,18.009367363850277
50,100,5,1,1,Skip-gram,0.29428571428571426,0.010105820105820106,191,18709,644,4.653934428527872
50,100,5,1000,0,CBOW,0.7265135699373695,0.08977035490605428,43,436,19065,15.170417407360356
50,100,5,1000,1,Skip-gram,0.7223382045929019,0.081419624217119,39,440,19065,2.580457887968091
50,100,5,3000,0,CBOW,0.8333333333333334,0.16666666666666666,2,10,19532,12.12875231107076
50,100,5,3000,1,Skip-gram,0.8333333333333334,0.0,0,12,19532,2.844897508621216
50,100,5,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
50,100,5,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
50,100,10,1,0,CBOW,0.2823809523809524,0.006931216931216931,131,18769,644,22.47306860385118
50,100,10,1,1,Skip-gram,0.30095238095238097,0.01126984126984127,213,18687,644,4.509692854818213
50,100,10,1000,0,CBOW,0.732776617954071,0.06263048016701461,30,449,19065,18.163354148944386
50,100,10,1000,1,Skip-gram,0.7160751565762005,0.07306889352818371,35,444,19065,2.4909739444549497
50,100,10,3000,0,CBOW,0.8333333333333334,0.16666666666666666,2,10,19532,13.40316367149353
50,100,10,3000,1,Skip-gram,0.8333333333333334,0.16666666666666666,2,10,19532,2.383967399597168
50,100,10,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
50,100,10,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
